id,Nama,Nomor Whatssap,Jenis kelamin,Pendidikan terakhir,Lama pengalaman (tahun),Jumlah lansia pernah dirawat,Umur,Keahlian,Mengurus rumah,Membantu pergerakan dan aktivitas fisik,Membantu konsumsi obat dan makanan,Mengecek kesehatan rutin secara mandiri,Mendampingi dan menjaga,Memasangkan alat medis khusus,Memeriksakan rutin ke dokter,Indonesia,Inggris,Jawa,Sunda,Melayu,Kota,Gaji
12,Adityo Baskoro,+62 810-2940-5598,1,3,6,4,31,0,1,1,1,0,1,1,1,0,1,0,1,0,KABUPATEN JEMBER,670000
13,Adityo Dinantika,+62 893-5583-5352,1,3,0,0,21,0.71,1,0,0,1,0,1,1,1,0,0,0,0,KABUPATEN INDRAGIRI HULU,760000
14,Adityo Zulfianna,+62 864-688-746,1,5,2,1,23,0,0,1,1,0,0,0,0,1,0,1,1,1,KABUPATEN GRESIK,520000
15,Adzkiya Syahrani,+62 854-6302-410,0,2,15,3,39,0.43,0,1,0,1,0,1,1,0,1,0,1,1,KABUPATEN SOPPENG,1130000
16,Afrida Farizi,+62 884-813-275,0,2,13,1,34,0.57,1,0,1,0,1,0,1,0,1,1,0,0,KOTA SURAKARTA,1320000
17,Aggil Fathir,+62 834-1854-9901,1,3,4,3,26,0.57,1,1,0,1,0,0,0,1,1,1,1,0,KABUPATEN BENGKULU UTARA,1730000
18,Aguie Jandl,+62 830-4309-58655,1,3,8,4,34,0.29,0,0,0,0,1,0,1,1,1,0,1,0,KABUPATEN BEKASI,1520000
19,Agus Fahmi Azzad,+62 865-6353-924,1,3,5,3,28,0.86,1,1,1,1,1,0,0,0,1,0,1,1,KABUPATEN BANYUWANGI,890000
20,Ahmed Cahalin,+62 865-387-636,1,3,2,1,24,0.57,1,0,1,1,0,1,0,1,1,0,1,0,KABUPATEN DHARMASRAYA,1920000
21,Aimee Larassati,+62 895-687-751,0,2,1,1,26,1,0,1,0,0,0,1,0,1,1,1,1,1,KABUPATEN OGAN ILIR,1320000
22,Ajeng Fauziah,+62 870-3379-759,0,1,3,2,32,1,1,0,0,1,0,0,1,0,1,0,0,1,KABUPATEN ASAHAN,1940000
23,Aland Foster,+62 897-9858-966,1,5,0,0,21,1,1,0,1,0,0,1,1,1,0,0,1,0,KABUPATEN BOYOLALI,1550000
24,Aland Plet,+62 816-9414-12920,1,2,0,0,28,0,0,1,0,0,0,0,1,0,0,1,0,1,KABUPATEN BELITUNG TIMUR,1950000
25,Alanson Ghion,+62 874-4855-115,1,3,12,9,39,0.71,1,0,0,1,0,1,0,0,0,1,0,0,KABUPATEN SERUYAN,1170000
26,Alanson Stadden,+62 824-4184-3209,1,4,5,2,39,0.57,1,1,1,0,1,0,0,0,1,0,1,0,KABUPATEN TEGAL,610000
27,Alberik Nelissen,+62 821-8573-346,1,2,2,0,31,0,0,0,0,0,1,1,1,1,1,0,1,0,KABUPATEN BANTUL,1210000
28,Aldo Ficky Ihsanuddin,+62 813-1227-09028,1,3,2,0,27,0.43,1,0,0,0,0,1,1,1,1,0,1,1,KABUPATEN RAJA AMPAT,1910000
29,Aldous Hovert,+62 812-6965-716,1,5,4,3,35,0.43,1,0,0,1,1,1,0,0,0,0,1,0,KABUPATEN BURU,1950000
30,Alec Davidovicz,+62 814-274-682,1,2,4,4,27,0.86,0,0,0,0,1,1,0,0,0,0,0,0,KABUPATEN TANJUNG JABUNG BARAT,1640000
31,Alf Lorriman,+62 868-8988-64196,1,5,0,0,34,0.43,0,1,1,0,0,0,0,0,0,1,1,1,KABUPATEN TOBA,850000
32,Alfin Asyrafi Widyasti,+62 820-160-583,1,3,2,0,28,0.29,0,1,1,0,1,1,0,0,0,1,0,1,KABUPATEN LAMPUNG TENGAH,1020000
33,Alfin Maretta,+62 896-1564-4429,1,2,0,0,39,0.43,1,1,1,0,1,1,0,0,0,0,0,0,KABUPATEN HUMBANG HASUNDUTAN,990000
34,Alfonso Tardiff,+62 812-5414-51081,1,2,10,7,33,0.14,0,0,1,0,0,1,1,0,1,0,0,0,KABUPATEN PASANGKAYU,560000
35,Alfred Paty,+62 895-950-641,1,5,7,2,32,0.14,0,1,1,1,1,1,0,1,0,1,1,0,KOTA PEMATANGSIANTAR,680000
36,Alika Hasan,+62 877-2101-9004,0,1,3,3,28,0.14,0,1,0,0,0,1,1,0,0,0,0,0,KABUPATEN DELI SERDANG,1550000
37,Alister Blackden,+62 827-4120-2824,1,3,2,1,25,0.14,1,1,1,1,0,1,1,1,1,0,0,1,KABUPATEN BANJARNEGARA,1750000
38,Allard O'Keenan,+62 828-9346-88780,1,3,1,1,37,0.71,0,0,1,0,1,1,0,0,0,0,0,1,KABUPATEN LOMBOK TENGAH,1980000
39,Allen Ramadhany,+62 894-7384-7901,1,2,7,4,39,0.71,0,0,0,1,1,0,0,0,0,0,0,0,KABUPATEN MURUNG RAYA,1580000
40,Alleyn Fittis,+62 889-2843-111,1,5,3,1,28,0,1,1,0,1,0,0,0,0,0,0,1,0,KABUPATEN KOLAKA UTARA,1660000
41,Alleyn Malatalant,+62 811-0889-144,1,5,2,1,38,0.29,1,0,1,0,1,0,1,1,1,0,0,0,KABUPATEN BEKASI,720000
42,Alleyn Titchener,+62 831-8968-450,1,3,8,5,28,0.57,1,1,1,1,1,1,1,1,0,0,1,1,KABUPATEN TEGAL,1900000
43,Almira Rumanti,+62 885-3675-27314,0,1,0,0,21,0.71,1,0,0,0,0,1,0,1,0,1,1,1,KABUPATEN MINAHASA,630000
44,Aloin Koene,+62 835-7039-235,1,5,6,6,26,1,0,0,1,1,1,1,0,0,1,0,1,0,KABUPATEN PULAU MOROTAI,910000
45,Alrendy Yudha Qurniawan,+62 857-891-025,1,3,8,2,39,0.14,1,0,1,0,1,0,1,0,1,1,1,1,KABUPATEN SRAGEN,1300000
46,Aluin Fearney,+62 820-027-596,1,2,0,0,32,1,0,1,1,0,0,1,0,0,0,1,0,1,KABUPATEN PURWAKARTA,560000
47,Aluino Bugby,+62 819-215-333,1,5,14,7,37,1,0,0,0,1,1,0,1,1,0,1,0,0,KABUPATEN TABALONG,1990000
48,Alvira Yuliyansih,+62 865-0948-738,0,1,18,3,38,0.29,0,0,0,0,0,0,1,1,0,0,1,0,KABUPATEN BOGOR,970000
49,Amadea Jenifer Antoni,+62 863-7377-0857,0,1,6,3,26,1,0,0,1,1,1,1,1,1,0,1,1,1,KABUPATEN MUNA,1520000
50,Ambros Shama,+62 823-175-449,1,4,0,0,22,0.71,1,0,0,1,1,1,1,0,0,0,0,0,KABUPATEN SUMBA TENGAH,1280000
51,Amelinda Ulfania,+62 866-9880-039,0,1,0,0,24,0.14,0,0,0,1,1,0,0,1,1,1,0,0,KABUPATEN LAMONGAN,1510000
52,Amory Gerlack,+62 894-0058-72563,1,2,4,2,30,0.57,0,1,1,0,1,0,1,0,1,1,0,0,KABUPATEN TAPIN,1690000
53,Anas Afini,+62 893-987-322,1,5,0,0,23,0.86,1,1,0,1,0,1,1,1,1,1,0,1,KABUPATEN BOLAANG MONGONDOW TIMUR,900000
54,Anas Zulfianna,+62 892-3200-17398,1,5,0,0,28,0.86,1,0,1,1,1,1,1,1,0,1,0,0,KABUPATEN LIMA PULUH KOTA,800000
55,Anastasia Raisid,+62 885-2438-465,0,1,14,10,34,0.29,0,1,1,1,1,0,1,0,0,0,1,1,KABUPATEN BANGLI,1290000
56,Andhicha Amalia,+62 886-4233-6255,1,5,3,1,29,0.29,0,0,0,1,0,1,0,1,1,0,0,0,KABUPATEN BLORA,1230000
57,Andhicha Muhammad,+62 878-8365-08281,1,5,11,1,38,1,1,0,1,0,1,1,0,1,1,0,1,1,KABUPATEN SUMBAWA,940000
58,Andi Himawan,+62 877-148-854,1,5,13,4,38,0.29,1,0,0,0,1,0,1,1,0,0,1,0,KOTA BINJAI,1400000
59,Andi Nathania,+62 885-9521-640,1,5,0,0,27,0.86,1,0,1,0,1,0,0,0,0,1,1,1,KABUPATEN MAJENE,1160000
60,Andi Prayugo,+62 815-8353-83897,1,5,4,4,26,0.86,1,1,0,0,1,1,0,0,1,1,1,1,KOTA TANJUNG BALAI,1600000
61,Andre Mowsley,+62 850-1819-4390,1,4,0,0,25,0.71,1,0,0,1,1,0,0,0,0,0,1,0,KABUPATEN NDUGA,1220000
62,Andrea Mousdall,+62 871-2090-52791,1,3,1,0,23,0.86,0,1,1,0,0,1,1,1,1,1,1,0,KABUPATEN NABIRE,990000
63,Andriawan Septiana,+62 813-3386-702,1,3,7,5,30,0.57,1,1,1,0,1,1,1,1,0,0,1,1,KOTA PANGKAL PINANG,1610000
64,Andriawan Yuliyanti,+62 873-2956-094,1,3,3,1,26,0.29,0,1,0,0,1,1,1,1,0,1,0,1,KOTA TASIKMALAYA,1550000
65,Andrie Asriandari,+62 818-595-483,1,2,6,5,30,0.29,0,0,1,1,1,1,0,1,1,1,1,1,KABUPATEN OGAN KOMERING ULU,810000
66,Andros Jedrzaszkiewicz,+62 810-7257-475,1,3,6,0,29,1,1,1,0,1,1,0,1,0,0,0,0,1,KABUPATEN DELI SERDANG,1210000
67,Andros Rozycki,+62 890-772-692,1,3,15,0,37,0.86,0,0,1,1,1,1,0,1,1,0,1,0,KABUPATEN SUMBA TIMUR,1020000
68,Angel Kusuma,+62 856-2942-02270,0,1,1,1,26,0.29,1,1,1,1,1,1,0,1,1,0,1,1,KABUPATEN WAJO,1200000
69,Angrit Permana,+62 812-1538-526,0,1,8,6,39,0.86,0,0,1,0,0,1,0,1,0,0,1,0,KABUPATEN MELAWI,1400000
70,Anisah Anjani,+62 877-987-214,0,1,0,0,35,0.57,1,1,1,1,1,0,0,0,1,0,0,0,KABUPATEN TEGAL,1050000
71,Anisha Hidayatul,+62 852-761-583,0,1,8,3,34,1,1,1,1,1,0,0,1,1,1,1,1,1,KABUPATEN BOGOR,1290000
72,Anna Malinda,+62 892-4147-160,0,1,5,3,31,0.14,0,0,0,1,1,0,0,1,0,1,0,0,KABUPATEN ACEH BARAT DAYA,1280000
73,Annis Nurfalah,+62 852-5384-5021,0,1,10,2,38,0.57,0,1,0,1,1,1,1,1,0,1,1,1,KABUPATEN ALOR,1910000
74,Annisa Primastiny,+62 890-076-219,0,2,0,0,21,0.86,0,0,1,0,0,1,1,0,1,0,0,1,KABUPATEN ACEH BARAT DAYA,2000000
75,Anton Ervya,+62 858-662-125,1,5,5,4,36,0.86,0,0,1,1,0,0,0,1,0,0,0,0,KABUPATEN SOLOK SELATAN,1730000
76,Anugrah Ahugrah,+62 836-7842-4079,1,5,2,2,25,0.14,1,1,1,0,1,1,1,1,1,0,0,1,KABUPATEN KULON PROGO,1270000
77,Anugrah Setiarini,+62 859-9769-1787,1,3,3,1,23,0.86,0,0,0,0,1,0,0,0,1,1,1,1,KABUPATEN CILACAP,1550000
78,Araldo Ricarde,+62 874-7275-34203,1,5,7,4,27,0.29,1,0,0,0,1,0,0,0,0,0,0,1,KABUPATEN SIMEULUE,1420000
79,Archambault Congdon,+62 834-752-152,1,5,2,1,22,0.86,1,1,1,0,1,0,1,0,1,0,1,0,KOTA LANGSA,1630000
80,Arfan Septiana,+62 820-9899-237,1,5,11,3,33,0.57,0,0,1,0,1,1,0,0,1,1,0,1,KABUPATEN TULUNGAGUNG,1010000
81,Ari Islam,+62 812-8219-288,1,5,1,1,21,0.29,0,0,1,0,1,1,1,1,1,0,1,0,KABUPATEN BULELENG,820000
82,Arie Geroldo,+62 861-5981-967,1,2,0,0,21,0.86,0,0,0,0,0,1,1,0,0,0,1,1,KABUPATEN MAROS,820000
83,Arie Haliday,+62 856-1326-4768,1,5,0,0,23,0.43,1,0,1,1,0,1,1,1,0,0,1,1,KABUPATEN BOALEMO,750000
84,Arie Randhika,+62 874-3289-6343,1,3,5,3,25,0.86,0,0,0,0,1,1,1,0,1,0,1,0,KABUPATEN SIAK,1770000
85,Ariel Guiduzzi,+62 827-0189-11922,1,3,2,2,23,0.43,0,0,1,1,0,1,1,0,0,0,1,0,KABUPATEN EMPAT LAWANG,730000
86,Ariesta Maulidah,+62 889-0494-46406,0,1,14,5,37,0.57,0,0,0,0,0,1,0,0,0,0,1,0,KABUPATEN SORONG SELATAN,1550000
87,Ario Prapastia,+62 836-5917-550,1,2,3,2,24,0.14,1,1,1,1,0,1,0,1,1,1,1,1,KABUPATEN BULUKUMBA,1630000
88,Aristyo Bony Gorat,+62 811-8228-32744,1,4,6,0,26,0,0,1,1,0,0,1,1,1,0,1,1,0,KABUPATEN MUARO JAMBI,540000
89,Aristyo Fiora,+62 859-607-529,1,5,1,0,21,0.86,1,1,0,0,0,1,1,1,0,1,1,1,KOTA KENDARI,1620000
90,Ariyadi Radja Kama,+62 851-4809-2130,1,3,8,5,37,0.14,0,1,1,1,0,0,0,1,1,0,1,1,KOTA KEDIRI,1600000
91,Arman Haggis,+62 884-1074-12597,1,5,1,1,26,0.86,0,0,1,1,0,0,0,0,0,1,0,1,KOTA PRABUMULIH,1190000
92,Armin Scholling,+62 882-515-623,1,5,1,1,27,0.43,1,0,0,1,1,1,0,0,1,0,0,0,KABUPATEN MAGETAN,1630000
93,Arnold Fendlen,+62 899-1000-84031,1,3,2,0,28,0.71,1,0,0,0,1,1,0,0,0,0,0,0,KOTA BONTANG,1120000
94,Arrum Tobing,+62 810-0389-879,0,1,10,4,35,0,1,1,0,1,1,1,1,0,0,0,0,1,KOTA PAYAKUMBUH,710000
95,Arsya Nadya,+62 892-2246-71681,0,1,2,0,25,0.14,1,1,1,1,0,1,0,0,0,1,1,0,KABUPATEN BANGKALAN,950000
96,Artemas Bresson,+62 852-549-682,1,3,3,1,26,1,1,0,0,0,0,0,1,0,0,1,0,1,KOTA BLITAR,1150000
97,Arvy Kornel,+62 835-360-351,1,3,7,3,32,0.71,1,0,0,0,0,0,0,1,0,0,1,0,KOTA SUBULUSSALAM,520000
98,Ashby Bazylets,+62 892-0725-08608,1,3,10,1,31,0.86,0,0,1,1,0,1,1,1,0,1,0,0,KOTA TANGERANG,1690000
99,Ashlin O'Daly,+62 861-2889-363,1,5,12,10,35,0.14,1,0,0,0,0,1,1,0,1,1,0,0,KABUPATEN KAPUAS,1910000
100,Assalia Rialdhie,+62 829-3783-218,0,1,5,5,29,1,0,1,1,1,1,1,0,0,1,1,0,0,KABUPATEN SEMARANG,1820000
101,Aswin Villaransi,+62 824-1714-35825,1,5,2,1,36,0.71,1,1,1,1,0,1,1,1,1,0,0,0,KABUPATEN MINAHASA,1150000
102,Asyrafi Syahputra,+62 838-930-525,1,5,3,2,33,0.29,1,0,1,0,0,0,1,1,0,1,1,0,KABUPATEN PUNCAK,2000000
103,Atikah Isham,+62 894-5320-5346,0,2,1,1,31,0,0,1,0,1,0,0,1,0,0,0,1,0,KABUPATEN SINTANG,1750000
104,Atikah Sukosulistiowani,+62 816-560-456,0,1,11,6,35,1,1,1,0,1,1,1,1,1,0,0,0,0,KABUPATEN MAROS,790000
105,Atikah Ulfa,+62 850-3257-83250,0,1,0,0,24,0.43,0,0,0,1,1,1,1,1,0,1,1,1,KOTA PAGAR ALAM,1110000
106,Aulia Atsila,+62 885-475-820,1,5,8,5,31,0.71,0,1,0,0,0,1,0,1,1,1,0,0,KABUPATEN KOTAWARINGIN BARAT,830000
107,Auzy Pulandathi,+62 886-486-395,0,1,7,4,29,0.86,1,1,1,1,0,0,1,0,0,0,0,0,KABUPATEN BLITAR,1250000
108,Avicenna Harkart,+62 893-2583-2586,1,5,6,0,30,0.29,1,0,0,1,1,0,1,0,1,0,1,0,KABUPATEN SUMEDANG,1520000
109,Avicenna Hilmawan,+62 831-042-542,1,5,0,0,25,0.29,0,0,0,0,0,1,0,0,1,0,1,0,KOTA SURABAYA,860000
110,Avie Irani Primastiny,+62 882-0121-3953,0,1,7,5,30,0.86,0,0,1,0,1,0,0,0,0,0,0,1,KABUPATEN KARAWANG,1650000
111,Axel P,+62 838-002-021,1,5,7,4,31,0.71,0,0,0,0,1,0,1,1,0,1,1,1,KABUPATEN PASURUAN,860000
112,Aylmar Easter,+62 839-5794-615,1,3,9,2,31,0.71,0,0,1,0,0,1,1,1,0,0,1,1,KOTA TASIKMALAYA,630000
113,Azhar Hafizh,+62 896-5358-6307,1,5,7,2,33,0,1,1,1,1,0,0,0,1,1,0,1,0,KOTA BANJARMASIN,1160000
114,Azhar Rabani,+62 857-9217-465,1,3,3,0,39,0.57,1,1,0,1,1,1,1,1,0,1,1,1,KABUPATEN NIAS,1890000
115,Azhar Revo Rugaya,+62 812-939-873,1,2,9,9,37,0,0,1,1,1,1,1,1,1,1,1,1,0,KABUPATEN LEMBATA,1670000
116,Azmi Subekti,+62 873-6103-9014,1,5,2,0,22,0.71,0,1,1,1,0,0,0,0,1,1,0,0,KOTA SERANG,2000000
117,Azmi Taufik Saradina,+62 876-1110-004,1,3,7,7,31,0.43,0,0,0,1,0,1,0,0,0,1,0,0,KABUPATEN KUTAI BARAT,720000
118,Azrul Oktazilvia,+62 874-764-326,1,5,5,1,26,0.86,1,0,1,0,1,0,0,0,0,0,0,1,KABUPATEN PACITAN,1630000
119,Bald Haet,+62 879-7401-1466,1,5,2,1,31,1,1,1,0,0,0,0,0,0,0,1,1,0,KABUPATEN NGAWI,510000
120,Banni Naomi,+62 823-8280-4875,1,3,7,1,31,0.14,1,0,1,0,0,1,1,1,0,1,0,0,KABUPATEN NGAWI,1540000
121,Bartholemy Hickin,+62 894-890-574,1,2,3,1,29,0.43,0,1,1,1,0,1,1,1,1,1,1,0,KABUPATEN PANGKAJENE KEPULAUAN,1420000
122,Bartholomeus Puttnam,+62 852-0016-594,1,5,4,3,39,1,1,0,1,0,1,0,0,1,1,1,1,0,KABUPATEN GROBOGAN,1460000
123,Bartlett Hencke,+62 817-0362-44980,1,3,13,5,36,0.14,0,0,1,0,0,0,1,1,1,1,0,1,KOTA TARAKAN,1530000
124,Bartolemo Bauchop,+62 870-5508-661,1,5,5,4,27,0.14,0,0,0,1,0,1,0,1,0,1,1,0,KABUPATEN SIDENRENG RAPPANG,820000
125,Basilio Holston,+62 836-2691-67788,1,5,8,3,33,0.86,0,1,1,0,1,1,0,0,1,0,0,0,KABUPATEN MALAKA,540000
126,Baxie Tschursch,+62 889-4734-01898,1,3,0,0,34,1,1,1,1,1,1,0,0,0,0,0,1,0,KABUPATEN BARITO SELATAN,960000
127,Bayu Fajriah,+62 871-7660-3990,1,3,0,0,23,0.57,0,0,1,1,1,0,1,0,1,0,0,1,KABUPATEN LAHAT,1340000
128,Bayu Sapitri,+62 883-4536-798,1,5,1,0,31,0.86,0,1,1,0,0,1,0,0,0,0,0,1,KOTA BUKITTINGGI,880000
129,Beale Beringer,+62 814-1013-2059,1,5,7,6,35,0.29,1,1,0,1,0,1,1,1,0,1,0,1,KABUPATEN KEPULAUAN SULA,1770000
130,Beckley Nustantomo,+62 829-7103-87525,1,5,9,0,32,0.29,1,1,1,0,1,0,0,1,0,1,0,0,KABUPATEN KEPAHIANG,840000
131,Benazir Nafila Hamada,+62 836-0652-0310,0,1,11,1,38,0.57,0,0,0,0,0,0,1,1,1,1,1,1,KOTA TANGERANG,1590000
132,Benedict Mourton,+62 832-8879-340,1,5,11,7,33,0.71,0,1,0,0,1,0,1,1,0,0,0,0,KABUPATEN ACEH SINGKIL,1160000
133,Benjamen Dalyiel,+62 887-2640-745,1,5,1,1,23,1,0,1,0,0,1,0,0,1,1,0,0,0,KABUPATEN SINTANG,810000
134,Berian Laelasari,+62 893-809-267,1,3,2,0,25,0.57,1,0,1,1,1,0,0,0,1,1,1,1,KABUPATEN PEKALONGAN,840000
135,Berty Gentery,+62 872-950-090,1,5,2,2,25,0.71,0,0,1,1,1,1,0,1,1,1,1,0,KABUPATEN NGAWI,1650000
136,Berty O'Gorman,+62 865-8972-043,1,5,1,1,23,0.57,0,0,1,0,0,1,0,0,0,1,1,0,KABUPATEN TOLI TOLI,1710000
137,Billy Batsford,+62 859-030-613,1,5,0,0,38,0,1,1,0,0,1,0,0,0,1,1,0,1,KABUPATEN JEMBRANA,1270000
138,Bintang Oklita,+62 890-4689-1751,1,5,0,0,23,0.29,1,0,0,1,1,1,0,0,0,0,0,1,KOTA PARIAMAN,900000
139,Bob Kartika,+62 818-1750-758,1,3,3,3,23,0.57,0,1,1,1,0,0,0,1,1,1,1,1,KABUPATEN BARITO TIMUR,1260000
140,Bond Fairbourn,+62 861-8757-73241,1,5,9,1,33,0,0,0,1,1,0,1,1,1,1,0,1,1,KABUPATEN NATUNA,1070000
141,Bondon Grumell,+62 824-1430-549,1,5,2,0,28,0,1,0,0,1,0,1,1,1,0,0,0,0,KOTA YOGYAKARTA,1540000
142,Bowie Hardeman,+62 817-1114-243,1,5,3,3,28,1,1,0,1,0,0,0,0,0,0,0,0,1,KOTA PROBOLINGGO,1670000
143,Boy Leiden,+62 869-2420-17882,1,5,2,1,27,0.43,1,0,0,0,1,0,1,1,1,1,0,1,KABUPATEN MINAHASA,1840000
144,Boycie MacCart,+62 887-0439-00252,1,3,0,0,26,0,1,1,1,1,0,1,0,0,1,1,1,1,KABUPATEN INDRAGIRI HULU,620000
145,Bradford Stanhope,+62 839-0561-732,1,5,9,4,36,0.14,0,1,1,1,0,0,0,0,0,0,1,0,KABUPATEN HULU SUNGAI UTARA,720000
146,Bradly Brugger,+62 838-1865-832,1,4,6,4,27,0.14,1,0,1,1,1,1,1,1,0,0,0,1,KOTA PASURUAN,960000
147,Branden Pellissier,+62 815-2209-9975,1,4,8,5,28,0,0,1,1,0,0,0,1,0,0,0,1,1,KABUPATEN SUKAMARA,1400000
148,Brandon Laminman,+62 852-0103-2536,1,5,12,12,34,0.57,0,0,0,1,1,0,1,1,1,1,1,0,KOTA ADM. JAKARTA UTARA,850000
149,Bret Hauxwell,+62 879-9805-733,1,5,12,5,33,0.14,1,1,1,1,1,0,0,0,0,1,1,0,KOTA BENGKULU,1370000
150,Briano Conduit,+62 863-843-732,1,3,12,7,33,0.14,1,0,1,1,0,1,0,0,1,1,0,0,KABUPATEN ACEH TAMIANG,670000
151,Britt Sabattier,+62 868-100-553,1,3,1,1,24,1,0,1,0,0,0,1,1,0,1,0,1,0,KABUPATEN SUBANG,1620000
152,Brucie Garnsey,+62 836-060-917,1,5,4,2,26,0.43,0,1,1,1,1,0,0,0,0,0,0,0,KABUPATEN TANAH DATAR,1930000
153,Bryan Zulaeha,+62 819-1309-8780,1,5,3,1,38,0.14,0,0,1,0,1,1,1,0,1,1,1,0,KABUPATEN TELUK BINTUNI,1670000
154,Buck Brun,+62 899-3812-09857,1,5,4,2,26,0,0,0,0,0,1,1,1,0,1,1,0,1,KABUPATEN PANGANDARAN,1230000
155,Buddie Baldack,+62 896-571-571,1,5,1,0,22,0.71,0,0,0,1,0,0,1,0,0,0,1,0,KABUPATEN PONOROGO,1830000
156,Burke Lowdham,+62 820-883-460,1,5,8,7,35,0.71,0,1,1,1,0,1,1,1,1,1,1,1,KABUPATEN DEIYAI,1990000
157,Burtie Baskeyfied,+62 834-517-651,1,5,4,1,24,0.14,0,1,0,0,1,1,0,0,0,0,0,0,KABUPATEN BEKASI,1550000
158,Cakra Isnandri,+62 896-472-881,1,3,3,1,26,0.14,1,1,1,0,1,0,0,0,1,1,1,1,KABUPATEN SERAM BAGIAN BARAT,1430000
159,Cakra Nugroho,+62 873-512-225,1,3,2,2,25,0.29,0,1,1,1,0,1,1,1,0,1,1,1,KOTA SURAKARTA,1420000
160,Callean Swateridge,+62 897-9842-38029,1,5,18,11,38,0,1,0,0,1,0,1,1,0,0,1,0,0,KABUPATEN JAYAWIJAYA,550000
161,Cam Mourant,+62 896-4296-01973,1,2,3,3,25,0.29,0,0,0,0,0,0,1,1,0,0,0,1,KABUPATEN TANAH LAUT,970000
162,Cammy Sharer,+62 872-206-804,1,2,10,4,33,0,0,0,1,1,1,1,1,0,0,1,0,1,KABUPATEN SUBANG,1740000
163,Cardito Nuraini,+62 869-2044-349,1,5,1,0,23,0.86,1,0,1,0,0,0,0,0,1,0,1,0,KABUPATEN KEBUMEN,1720000
164,Carlos Philippard,+62 895-5789-915,1,5,3,1,37,0.43,0,0,0,1,0,0,0,1,1,1,0,1,KABUPATEN ACEH TIMUR,1570000
165,Carol Audy,+62 818-1982-905,0,1,7,6,27,0.14,0,1,0,0,1,0,1,0,0,0,0,0,KOTA TANGERANG,1240000
166,Carrol Romero,+62 810-869-779,1,5,1,1,35,0.14,1,1,0,1,1,0,0,0,1,1,1,1,KABUPATEN JENEPONTO,1110000
167,Cary Nemchinov,+62 867-0277-07678,1,5,6,5,31,0.14,0,0,0,0,1,0,1,0,0,1,1,1,KABUPATEN CIANJUR,1240000
168,Cassius Canon,+62 883-605-540,1,5,2,1,24,0.71,1,1,1,0,0,1,0,0,0,0,1,0,KABUPATEN PINRANG,730000
169,Caz Kift,+62 871-5855-309,1,5,3,3,25,0.29,1,0,1,0,0,0,0,1,1,1,1,0,KABUPATEN BATANG,1480000
170,Cecilio Mc Meekan,+62 887-0581-039,1,3,1,1,26,0.57,1,1,0,1,0,1,1,1,1,0,0,1,KABUPATEN PAKPAK BHARAT,1820000
171,Ced Scrivener,+62 851-9316-2560,1,5,9,6,30,0.14,1,0,1,0,0,1,1,0,1,0,1,0,KABUPATEN KOLAKA TIMUR,1500000
172,Cesar Davidai,+62 850-7432-6285,1,5,4,4,33,0.57,1,1,0,1,0,1,0,0,0,0,1,1,KABUPATEN MAGETAN,1170000
173,Chad Akred,+62 866-4447-7762,1,3,1,0,33,0.71,1,0,0,1,0,1,1,1,0,1,1,0,KABUPATEN YALIMO,600000
